Title,Price,Shipping,Condition,URL
Dell PC Optiplex 7020 Sff D07s Computer,$125.00,Shipping not specified,Pre-Owned,https://www.ebay.com/itm/286565471477?_skw=PC&itmmeta=01K0HD0XH4RVEYRHYN14XKJV0J&hash=item42b8a214f5:g:cpUAAeSwhHRoI0vw&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fMm9NpZCaYrGZ3YMxz9WzGq3hpZ3EMo1yOgoyavXMj%2FjvUJvzUWLxqsi0lXSXcHifZ2oB6Jo5yPNFn9xR1w%2BB12cLEYPjW4Ig%2F53alWUHoSOJgts87Oxfdi7dgvGsd83cpiJzQUanaCvt4KGySfnspUt9fzSn0MezkUt%2BFR2gIlogG4363pYwkDw1cPTXcKIyarHTJtVdzWqD9iFjwIQTcCsdRs3qRDA0LENItrYb7sQ%3D%3D%7Ctkp%3ABlBMUIzZg62EZg
"INTEL NUC6CAYS Mini J3455 @ 1.50GHz, 2GB Ram, 32GB EMMC, Windows 10 Home",$49.99,Shipping not specified,Pre-Owned,https://www.ebay.com/itm/255912957257?_skw=PC&epid=6044444755&itmmeta=01K0HD0XH4CFKMKZ6H34F6R3S0&hash=item3b9599d549:g:wewAAOSw-cBjtuxk&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dvdYSKIt29sNz1Jt4uyG%2FkZXoLBvyZZFxvywqBP0Isl%2B5rgmAAlfey2O3M8rrTD4LkrJmIhfbdf2GV7hbGwZm988Sx%2FyBZxHr8ZFjTCVXFvugIQHCiXEbNKnKQQV868%2FrCOugnN1hghcN%2Bm9m4X0DDpkVKCauJ4jGy6yDzzDR2fWbYwfxiUrdV%2BVgrTN3yB3gdyOz9v%2FLxHq2tM3ouKGwcZBbIylYNbCJFLbCfPxksZQ%3D%3D%7Ctkp%3ABlBMUIzZg62EZg
HP Desktop Computer 16GB 1TB SSD Windows 11 Bluetooth WiFi CLEARANCE SALE,$279.95,Shipping not specified,Open Box,https://www.ebay.com/itm/127223363716?_skw=PC&epid=16063875229&itmmeta=01K0HD0XH4REB58M5JG6P89ST1&hash=item1d9f1a7884:g:hr4AAeSwZTVoYY3s&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cP2D6e9%2FJu8RJVsehF9Qq99WCZrrn2nzvUsUl9qJds5ejcvHS0Rv4YursDuyJRY2BBuTY6OiIc1Dx8HTQ7QUAqou7WOrDUgMgKgbqWaTZC%2BKx8QrKh31kxuwF%2BGQ31c7KbdqUGpdseEtDyE2znl%2F3wx6Y6aX2FThvzRUnnwy4XCp7LdEAoQX554gmz3uWnu3TfnzEFZufqpqH%2FHv%2F4JFJAVG8MRK1jac7yGTUT8JQhAQ%3D%3D%7Ctkp%3ABlBMUIzZg62EZg
"DELL Gaming PC Desktop Computer i7, Up to 32GB RAM,2TB SSD NVIDIA Windows, WiFi",$149.00 to $596.00,+$361.90 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365592312255?_skw=PC&itmmeta=01K0HD0XH4WN4PREB06CWZZWCB&hash=item551efff9bf:g:wjwAAOSwEX1oIitU&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cH0jHWQyoskDHxMGcSIJMukI94BpPTlr2IfMexE7T5SYieugO55T8GBzs%2FTQ1VJ0bfEypAQec10xwlVEQ6aEIgnztaiuSYC5z%2F0ZQscbx%2BVARegFpPkjmZtmZ7DU1zKGNaahruwWcOv9AAYoUuZuk5V5%2Bic0KN5Vb3Rz86%2Ftq9N%2B6DvYKRstQvONrvWB8878Y1e68JEBeK2sZvNMOVNY6oXnUB04GXCVhiUHkAmtiz9w%3D%3D%7Ctkp%3ABk9SR4zZg62EZg
"Dell Desktop Computer PC i5, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro WiFi",$99.00 to $299.00,Shipping not specified,Excellent - Refurbished,https://www.ebay.com/itm/304041042675?_skw=PC&itmmeta=01K0HD0XH4N18Q4BCYF5EYAPNE&hash=item46ca4222f3:g:AW4AAeSw7hZoeeFx&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e3CaB%2F6DuOAaE6yZv3Oxq1wP2hdrQ4IN0HDMUv2aWEc4qRq69zcJcp%2BWd%2Ff6g3O01l22FFcnH0elWlbS9smdYBBQ%2F2kyK5%2Fv1Qlh2t5tV8cb2rTdPRrDXj27hvEQdvPeDyJyUsmF63coTZ861t4q2xhEFzyHeodHI%2BdcFvWyzDflV3P%2F0R4wi29PCgQBpB%2FKo%2FHXIIADx3EIbNDBexOiLuQgjoRQ1z9AQQducTTSIzUHYdjrDr7i9fSHIo%2FjggqZBoHsFqsC3yPLPKtetEQezz%7Ctkp%3ABk9SR4zZg62EZg
"Dell Desktop PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10, WiFi + BT, DVD-RW",$139.00 to $349.00,Shipping not specified,Very Good - Refurbished,https://www.ebay.com/itm/304029933336?_skw=PC&itmmeta=01K0HD0XH43KQYQCYE7WCCESE4&hash=item46c9989f18:g:2BEAAeSweANoZhc0&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dx52e%2BYRKxSuS3MFajGVZZPOTzFs0eMwyW6mxTeXmQOG%2FJz9J9qt6CVjH3XFEGFMk6EwkIrbxc8SKnmYdmw5U%2FV%2FktFzzHvhVz%2BPLmwiUu2lyUOMkhj1MU0m5cGChw61Kvm3jqbgzTffXfLl7F0lhi%2BOCOvNTd2Cqr8pnumN2ALG10TK5NMesQVlei329yntlbVGJJHIHNNHKLK4pDBjBDdQJCmO9RHlaexmZbtR2Dyw%3D%3D%7Ctkp%3ABk9SR4zZg62EZg
"DELL Gaming PC Desktop Computer i7, Up to 32GB RAM 2TB SSD NVIDIA GTX 1660 Super",$149.00 to $596.00,+$361.90 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365682162233?_skw=PC&itmmeta=01K0HD0XH5PSZRJ89Y988KJHS7&hash=item55245afa39:g:YggAAOSwfG9oVGFZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dEUqFsw6BsPkTc8kkRa0Xy3a0dMjMs%2FfEIJVT3JO68P%2B5ymjDG8EB0jj9F%2BJpqyS%2B3LqYQL9j7x251rIrB%2F86%2FgWNo8FG3a0oYkIAPhhTLvry4J%2Boy1ETcmXR5Ef9VdCf1jAPlgztLggcI9qFHUE0pMB%2F3UUwDHzbNP4%2F0awJ5yuBcNHc1ys5ny5Hm%2FQFFBPAIvBoEghTY1U2jmSI1ZkEK17e3uRVGNDmk3KcpjeZA2g%3D%3D%7Ctkp%3ABk9SR47Zg62EZg
"DELL Desktop Computer PC i7,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi","$614.28 to $1,645.00",+$323.65 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365052295843?_skw=PC&itmmeta=01K0HD0XH5XA62DPKN2GQ5E8N6&hash=item54fecffaa3:g:7fcAAOSwPMBoHNpF&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1flmoruDQM0D30ZXlEsZmiEHfYWmVjW4LSxhyOREta2xoyVOiQERpbU4VFmyL34LVTX8YCZzou78%2BNACUBmhiQCrOfHs%2FBmFgnVy5IR%2BkzcVH4O1oDsUC%2BjpcoL6vjCMso3EwakQEhGQXk%2F5wqVlIcQygODYD9mjhqUlBepioVj0u7Ycea%2Fzaav%2BtNMwzLu3JZ9BwYytmRj%2FeTq7OD2ynlbLyH8bKJ9Nl%2BLg1aA5FR%2FHkcMf2TA%2Fww%2BFz02rfr5EUSIwTxVLnIkr2wF%2Bz7nFuXa%7Ctkp%3ABk9SR47Zg62EZg
"Dell Desktop Computer PC i5, up to 32GB RAM, 3TB SSD, Windows 11/10 Pro WiFi",$186.63,N/A,N/A,https://www.ebay.com/itm/304041042675?_skw=PC&itmmeta=01K0HD0XJNTHJRMK4N7VYFR2M0&hash=item46ca4222f3:g:AW4AAeSw7hZoeeFx&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eRbE4%2BPPevqflYCArwr9Nn1C4leV2rSPD0XlAGz87wxaYoPXldER7ojBAVPiq9SJKIGp8YdQXXHL9CprZN%2B86gyqmM1IWRMiXZzamT%2BmnL17GZRjdznq9gTZ3ML%2B6ba%2BvtlZRz0yzBhnWbQXHFMVB8BjhZzskTouFTjZzRpTenlOAHlrmh5lKgTtb7iI7zGR2WB%2F5%2B4e8OoK3aW33kFJ5AvzRUupFBWtvoJ49AVN%2Bzvo%2Freo2oHGhHAsm27YO4w4BNnQdov7kHUiCrBm7H7lYD%7Ctkp%3ABFBMyNmDrYRm
"HP Desktop PC i7 9th Gen, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro WiFi BT",$540.93,N/A,N/A,https://www.ebay.com/itm/295892569115?_skw=PC&itmmeta=01K0HD0XJND8PRSR5T7RC1DN63&hash=item44e4924c1b:g:858AAeSwHQdoYi7g&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fBlZJ%2Fu3tbflOFXaVSSw3JaPCHd4OA5p6UlbQ3GZj0lFQSHM7YormvLhyvhFb%2FxB057hcNSM0DUB8n%2FFr5S%2BJ2avBH7MXg7r1Rzu5kj2PlVUITrs4Ii%2FWVeYS8SGVCBFNjrcuCBsUFXiJFuUKuDt2%2Bob%2Fd1sf%2BUGZM4c7hkGb1uoO9ogcwWyEplNH4t0Q1E2DhiIfcX%2BazSgR2wrdtsDJHuf9nlQyIZn4zrgSNjYM0WnVTlwIHEkONmPOCNBwpZmRkbo3g42fHoDyCDc2d1xL9%7Ctkp%3ABFBMyNmDrYRm
